hotel,arrival_date,total_reservations,canceled_reservations,cancellation_rate
"Resort Hotel",2016-03-08,44,1,2.2727
"Resort Hotel",2016-03-09,68,9,13.2353
"Resort Hotel",2016-03-10,30,4,13.3333
"Resort Hotel",2016-03-11,63,14,22.2222
"Resort Hotel",2016-03-12,62,9,14.5161
"Resort Hotel",2016-03-13,26,4,15.3846
"Resort Hotel",2016-03-14,54,8,14.8148
"Resort Hotel",2016-03-15,52,3,5.7692
"Resort Hotel",2016-03-16,49,3,6.1224
"Resort Hotel",2016-03-17,71,7,9.8592
"Resort Hotel",2016-03-18,51,10,19.6078
"Resort Hotel",2016-03-19,91,30,32.9670
"Resort Hotel",2016-03-20,48,12,25.0000
"Resort Hotel",2016-03-21,65,13,20.0000
"Resort Hotel",2016-03-22,53,8,15.0943
"Resort Hotel",2016-03-23,41,5,12.1951
"Resort Hotel",2016-03-24,170,67,39.4118
"Resort Hotel",2016-03-25,45,8,17.7778
"Resort Hotel",2016-03-26,23,5,21.7391
"Resort Hotel",2016-03-27,47,13,27.6596
"Resort Hotel",2016-03-28,70,22,31.4286
"Resort Hotel",2016-03-29,45,5,11.1111
"Resort Hotel",2016-03-30,57,6,10.5263
"Resort Hotel",2016-03-31,102,13,12.7451
"Resort Hotel",2016-04-01,23,2,8.6957
"Resort Hotel",2016-04-02,25,4,16.0000
"Resort Hotel",2016-04-03,28,4,14.2857
"Resort Hotel",2016-04-04,100,19,19.0000
"Resort Hotel",2016-04-05,42,3,7.1429
"Resort Hotel",2016-04-06,48,3,6.2500
"Resort Hotel",2016-04-07,88,22,25.0000
"Resort Hotel",2016-04-08,46,6,13.0435
"Resort Hotel",2016-04-09,78,23,29.4872
"Resort Hotel",2016-04-10,48,8,16.6667
"Resort Hotel",2016-04-11,79,33,41.7722
"Resort Hotel",2016-04-12,62,29,46.7742
"Resort Hotel",2016-04-13,38,2,5.2632
"Resort Hotel",2016-04-14,37,3,8.1081
"Resort Hotel",2016-04-15,32,7,21.8750
"Resort Hotel",2016-04-16,71,16,22.5352
"Resort Hotel",2016-04-17,30,5,16.6667
"Resort Hotel",2016-04-18,111,21,18.9189
"Resort Hotel",2016-04-19,75,32,42.6667
"Resort Hotel",2016-04-20,44,5,11.3636
"Resort Hotel",2016-04-21,30,8,26.6667
"Resort Hotel",2016-04-22,91,25,27.4725
"Resort Hotel",2016-04-23,66,20,30.3030
"Resort Hotel",2016-04-24,60,31,51.6667
"Resort Hotel",2016-04-25,62,34,54.8387
"Resort Hotel",2016-04-26,74,20,27.0270
"Resort Hotel",2016-04-27,64,13,20.3125
"Resort Hotel",2016-04-28,75,30,40.0000
"Resort Hotel",2016-04-29,117,65,55.5556
"Resort Hotel",2016-04-30,123,29,23.5772
"Resort Hotel",2016-05-01,33,8,24.2424
"Resort Hotel",2016-05-02,107,29,27.1028
"Resort Hotel",2016-05-03,33,6,18.1818
"Resort Hotel",2016-05-04,41,3,7.3171
"Resort Hotel",2016-05-05,56,8,14.2857
"Resort Hotel",2016-05-06,45,15,33.3333
"Resort Hotel",2016-05-07,60,10,16.6667
"Resort Hotel",2016-05-08,60,15,25.0000
"Resort Hotel",2016-05-09,45,9,20.0000
"Resort Hotel",2016-05-10,50,16,32.0000
"Resort Hotel",2016-05-11,38,4,10.5263
"Resort Hotel",2016-05-12,150,63,42.0000
"Resort Hotel",2016-05-13,31,12,38.7097
"Resort Hotel",2016-05-14,78,24,30.7692
"Resort Hotel",2016-05-15,88,34,38.6364
"Resort Hotel",2016-05-16,104,25,24.0385
"Resort Hotel",2016-05-17,62,16,25.8065
"Resort Hotel",2016-05-18,66,29,43.9394
"Resort Hotel",2016-05-19,73,12,16.4384
"Resort Hotel",2016-05-20,32,9,28.1250
"Resort Hotel",2016-05-21,47,16,34.0426
"Resort Hotel",2016-05-22,40,5,12.5000
"Resort Hotel",2016-05-23,38,9,23.6842
"Resort Hotel",2016-05-24,49,10,20.4082
"Resort Hotel",2016-05-25,49,11,22.4490
"Resort Hotel",2016-05-26,67,7,10.4478
"Resort Hotel",2016-05-27,40,24,60.0000
"Resort Hotel",2016-05-28,47,16,34.0426
"Resort Hotel",2016-05-29,37,9,24.3243
"Resort Hotel",2016-05-30,76,12,15.7895
"Resort Hotel",2016-05-31,60,13,21.6667
"Resort Hotel",2016-06-01,68,23,33.8235
"Resort Hotel",2016-06-02,56,7,12.5000
"Resort Hotel",2016-06-03,54,22,40.7407
"Resort Hotel",2016-06-04,43,13,30.2326
"Resort Hotel",2016-06-05,42,14,33.3333
"Resort Hotel",2016-06-06,49,11,22.4490
"Resort Hotel",2016-06-07,35,13,37.1429
"Resort Hotel",2016-06-08,27,8,29.6296
"Resort Hotel",2016-06-09,39,7,17.9487
"Resort Hotel",2016-06-10,42,12,28.5714
"Resort Hotel",2016-06-11,52,12,23.0769
"Resort Hotel",2016-06-12,79,38,48.1013
"Resort Hotel",2016-06-13,58,19,32.7586
"Resort Hotel",2016-06-14,29,10,34.4828
"Resort Hotel",2016-06-15,35,2,5.7143
"Resort Hotel",2016-06-16,37,10,27.0270
"Resort Hotel",2016-06-17,51,14,27.4510
"Resort Hotel",2016-06-18,54,17,31.4815
"Resort Hotel",2016-06-19,33,10,30.3030
"Resort Hotel",2016-06-20,51,16,31.3725
"Resort Hotel",2016-06-21,60,14,23.3333
"Resort Hotel",2016-06-22,53,11,20.7547
"Resort Hotel",2016-06-23,39,4,10.2564
"Resort Hotel",2016-06-24,21,5,23.8095
"Resort Hotel",2016-06-25,63,15,23.8095
"Resort Hotel",2016-06-26,51,11,21.5686
"Resort Hotel",2016-06-27,44,20,45.4545
"Resort Hotel",2016-06-28,35,6,17.1429
"Resort Hotel",2016-06-29,19,5,26.3158
"Resort Hotel",2016-06-30,50,7,14.0000
"Resort Hotel",2016-07-01,32,13,40.6250
"Resort Hotel",2016-07-02,54,18,33.3333
"Resort Hotel",2016-07-03,33,11,33.3333
"Resort Hotel",2016-07-04,56,12,21.4286
"Resort Hotel",2016-07-05,35,3,8.5714
"Resort Hotel",2016-07-06,24,5,20.8333
"Resort Hotel",2016-07-07,35,9,25.7143
"Resort Hotel",2016-07-08,44,19,43.1818
"Resort Hotel",2016-07-09,50,16,32.0000
"Resort Hotel",2016-07-10,30,5,16.6667
"Resort Hotel",2016-07-11,45,15,33.3333
"Resort Hotel",2016-07-12,46,19,41.3043
"Resort Hotel",2016-07-13,28,10,35.7143
"Resort Hotel",2016-07-14,46,14,30.4348
"Resort Hotel",2016-07-15,60,22,36.6667
"Resort Hotel",2016-07-16,72,34,47.2222
"Resort Hotel",2016-07-17,51,19,37.2549
"Resort Hotel",2016-07-18,71,23,32.3944
"Resort Hotel",2016-07-19,41,9,21.9512
"Resort Hotel",2016-07-20,41,12,29.2683
"Resort Hotel",2016-07-21,53,15,28.3019
"Resort Hotel",2016-07-22,46,17,36.9565
"Resort Hotel",2016-07-23,65,25,38.4615
"Resort Hotel",2016-07-24,49,15,30.6122
"Resort Hotel",2016-07-25,65,24,36.9231
"Resort Hotel",2016-07-26,35,9,25.7143
"Resort Hotel",2016-07-27,35,10,28.5714
"Resort Hotel",2016-07-28,39,8,20.5128
"Resort Hotel",2016-07-29,42,11,26.1905
"Resort Hotel",2016-07-30,67,21,31.3433
"Resort Hotel",2016-07-31,51,13,25.4902
"Resort Hotel",2016-08-01,89,28,31.4607
"Resort Hotel",2016-08-02,50,19,38.0000
"Resort Hotel",2016-08-03,36,10,27.7778
"Resort Hotel",2016-08-04,51,14,27.4510
"Resort Hotel",2016-08-05,50,21,42.0000
"Resort Hotel",2016-08-06,51,19,37.2549
"Resort Hotel",2016-08-07,54,20,37.0370
"Resort Hotel",2016-08-08,76,22,28.9474
"Resort Hotel",2016-08-09,32,10,31.2500
"Resort Hotel",2016-08-10,49,19,38.7755
"Resort Hotel",2016-08-11,55,19,34.5455
"Resort Hotel",2016-08-12,62,22,35.4839
"Resort Hotel",2016-08-13,78,37,47.4359
"Resort Hotel",2016-08-14,46,17,36.9565
"Resort Hotel",2016-08-15,76,28,36.8421
