hotel,arrival_date,total_reservations,canceled_reservations,cancellation_rate
"Resort Hotel",2017-02-02,32,8,25.0000
"Resort Hotel",2017-02-03,45,7,15.5556
"Resort Hotel",2017-02-04,81,15,18.5185
"Resort Hotel",2017-02-05,16,4,25.0000
"Resort Hotel",2017-02-06,65,11,16.9231
"Resort Hotel",2017-02-07,31,7,22.5806
"Resort Hotel",2017-02-08,42,6,14.2857
"Resort Hotel",2017-02-09,44,3,6.8182
"Resort Hotel",2017-02-10,88,43,48.8636
"Resort Hotel",2017-02-11,64,17,26.5625
"Resort Hotel",2017-02-12,38,8,21.0526
"Resort Hotel",2017-02-13,84,13,15.4762
"Resort Hotel",2017-02-14,57,11,19.2982
"Resort Hotel",2017-02-15,31,4,12.9032
"Resort Hotel",2017-02-16,52,12,23.0769
"Resort Hotel",2017-02-17,97,22,22.6804
"Resort Hotel",2017-02-18,82,26,31.7073
"Resort Hotel",2017-02-19,46,17,36.9565
"Resort Hotel",2017-02-20,58,9,15.5172
"Resort Hotel",2017-02-21,49,7,14.2857
"Resort Hotel",2017-02-22,72,21,29.1667
"Resort Hotel",2017-02-23,69,19,27.5362
"Resort Hotel",2017-02-24,57,22,38.5965
"Resort Hotel",2017-02-25,109,33,30.2752
"Resort Hotel",2017-02-26,46,6,13.0435
"Resort Hotel",2017-02-27,33,5,15.1515
"Resort Hotel",2017-02-28,60,27,45.0000
"Resort Hotel",2017-03-01,73,25,34.2466
"Resort Hotel",2017-03-02,105,1,0.9524
"Resort Hotel",2017-03-03,25,6,24.0000
"Resort Hotel",2017-03-04,26,7,26.9231
"Resort Hotel",2017-03-05,83,30,36.1446
"Resort Hotel",2017-03-06,32,5,15.6250
"Resort Hotel",2017-03-07,46,5,10.8696
"Resort Hotel",2017-03-08,26,5,19.2308
"Resort Hotel",2017-03-09,105,48,45.7143
"Resort Hotel",2017-03-10,41,7,17.0732
"Resort Hotel",2017-03-11,74,26,35.1351
"Resort Hotel",2017-03-12,40,8,20.0000
"Resort Hotel",2017-03-13,56,9,16.0714
"Resort Hotel",2017-03-14,74,34,45.9459
"Resort Hotel",2017-03-15,47,9,19.1489
"Resort Hotel",2017-03-16,40,4,10.0000
"Resort Hotel",2017-03-17,23,6,26.0870
"Resort Hotel",2017-03-18,49,13,26.5306
"Resort Hotel",2017-03-19,50,6,12.0000
"Resort Hotel",2017-03-20,43,4,9.3023
"Resort Hotel",2017-03-21,28,0,0.0000
"Resort Hotel",2017-03-22,17,3,17.6471
"Resort Hotel",2017-03-23,28,2,7.1429
"Resort Hotel",2017-03-24,44,25,56.8182
"Resort Hotel",2017-03-25,52,9,17.3077
"Resort Hotel",2017-03-26,28,8,28.5714
"Resort Hotel",2017-03-27,75,50,66.6667
"Resort Hotel",2017-03-28,43,10,23.2558
"Resort Hotel",2017-03-29,59,8,13.5593
"Resort Hotel",2017-03-30,60,9,15.0000
"Resort Hotel",2017-03-31,66,12,18.1818
"Resort Hotel",2017-04-01,35,8,22.8571
"Resort Hotel",2017-04-02,29,8,27.5862
"Resort Hotel",2017-04-03,64,26,40.6250
"Resort Hotel",2017-04-04,28,5,17.8571
"Resort Hotel",2017-04-05,91,14,15.3846
"Resort Hotel",2017-04-06,39,13,33.3333
"Resort Hotel",2017-04-07,30,9,30.0000
"Resort Hotel",2017-04-08,89,34,38.2022
"Resort Hotel",2017-04-09,98,43,43.8776
"Resort Hotel",2017-04-10,52,16,30.7692
"Resort Hotel",2017-04-11,55,12,21.8182
"Resort Hotel",2017-04-12,45,12,26.6667
"Resort Hotel",2017-04-13,96,39,40.6250
"Resort Hotel",2017-04-14,83,39,46.9880
"Resort Hotel",2017-04-15,47,18,38.2979
"Resort Hotel",2017-04-16,60,27,45.0000
"Resort Hotel",2017-04-17,65,19,29.2308
"Resort Hotel",2017-04-18,53,11,20.7547
"Resort Hotel",2017-04-19,41,5,12.1951
"Resort Hotel",2017-04-20,41,8,19.5122
"Resort Hotel",2017-04-21,32,9,28.1250
"Resort Hotel",2017-04-22,96,25,26.0417
"Resort Hotel",2017-04-23,53,9,16.9811
"Resort Hotel",2017-04-24,18,3,16.6667
"Resort Hotel",2017-04-25,47,12,25.5319
"Resort Hotel",2017-04-26,23,3,13.0435
"Resort Hotel",2017-04-27,47,11,23.4043
"Resort Hotel",2017-04-28,55,15,27.2727
"Resort Hotel",2017-04-29,150,53,35.3333
"Resort Hotel",2017-04-30,80,31,38.7500
"Resort Hotel",2017-05-01,49,13,26.5306
"Resort Hotel",2017-05-02,53,12,22.6415
"Resort Hotel",2017-05-03,75,31,41.3333
"Resort Hotel",2017-05-04,80,38,47.5000
"Resort Hotel",2017-05-05,66,31,46.9697
"Resort Hotel",2017-05-06,34,11,32.3529
"Resort Hotel",2017-05-07,46,10,21.7391
"Resort Hotel",2017-05-08,83,13,15.6627
"Resort Hotel",2017-05-09,79,27,34.1772
"Resort Hotel",2017-05-10,31,16,51.6129
"Resort Hotel",2017-05-11,45,13,28.8889
"Resort Hotel",2017-05-12,42,8,19.0476
"Resort Hotel",2017-05-13,61,19,31.1475
"Resort Hotel",2017-05-14,47,14,29.7872
"Resort Hotel",2017-05-15,63,8,12.6984
"Resort Hotel",2017-05-16,47,5,10.6383
"Resort Hotel",2017-05-17,45,14,31.1111
"Resort Hotel",2017-05-18,50,12,24.0000
"Resort Hotel",2017-05-19,25,11,44.0000
"Resort Hotel",2017-05-20,40,15,37.5000
"Resort Hotel",2017-05-21,52,17,32.6923
"Resort Hotel",2017-05-22,52,10,19.2308
"Resort Hotel",2017-05-23,57,11,19.2982
"Resort Hotel",2017-05-24,53,9,16.9811
"Resort Hotel",2017-05-25,143,43,30.0699
"Resort Hotel",2017-05-26,37,17,45.9459
"Resort Hotel",2017-05-27,40,23,57.5000
"Resort Hotel",2017-05-28,99,31,31.3131
"Resort Hotel",2017-05-29,50,7,14.0000
"Resort Hotel",2017-05-30,53,23,43.3962
"Resort Hotel",2017-05-31,60,33,55.0000
"Resort Hotel",2017-06-01,77,22,28.5714
"Resort Hotel",2017-06-02,84,37,44.0476
"Resort Hotel",2017-06-03,96,49,51.0417
"Resort Hotel",2017-06-04,47,12,25.5319
"Resort Hotel",2017-06-05,42,19,45.2381
"Resort Hotel",2017-06-06,38,10,26.3158
"Resort Hotel",2017-06-07,39,11,28.2051
"Resort Hotel",2017-06-08,67,28,41.7910
"Resort Hotel",2017-06-09,56,20,35.7143
"Resort Hotel",2017-06-10,69,17,24.6377
"Resort Hotel",2017-06-11,69,24,34.7826
"Resort Hotel",2017-06-12,46,17,36.9565
"Resort Hotel",2017-06-13,43,12,27.9070
"Resort Hotel",2017-06-14,48,22,45.8333
"Resort Hotel",2017-06-15,72,27,37.5000
"Resort Hotel",2017-06-16,55,29,52.7273
"Resort Hotel",2017-06-17,56,21,37.5000
"Resort Hotel",2017-06-18,57,28,49.1228
"Resort Hotel",2017-06-19,49,18,36.7347
"Resort Hotel",2017-06-20,39,12,30.7692
"Resort Hotel",2017-06-21,38,12,31.5789
"Resort Hotel",2017-06-22,60,21,35.0000
"Resort Hotel",2017-06-23,44,11,25.0000
"Resort Hotel",2017-06-24,74,29,39.1892
"Resort Hotel",2017-06-25,60,34,56.6667
"Resort Hotel",2017-06-26,76,29,38.1579
"Resort Hotel",2017-06-27,29,12,41.3793
"Resort Hotel",2017-06-28,34,12,35.2941
"Resort Hotel",2017-06-29,40,13,32.5000
"Resort Hotel",2017-06-30,72,23,31.9444
"Resort Hotel",2017-07-01,90,38,42.2222
"Resort Hotel",2017-07-02,55,23,41.8182
"Resort Hotel",2017-07-03,67,30,44.7761
"Resort Hotel",2017-07-04,49,19,38.7755
"Resort Hotel",2017-07-05,40,15,37.5000
"Resort Hotel",2017-07-06,44,14,31.8182
"Resort Hotel",2017-07-07,42,14,33.3333
"Resort Hotel",2017-07-08,51,16,31.3725
"Resort Hotel",2017-07-09,69,14,20.2899
"Resort Hotel",2017-07-10,64,21,32.8125
"Resort Hotel",2017-07-11,69,24,34.7826
"Resort Hotel",2017-07-12,56,19,33.9286
"Resort Hotel",2017-07-13,54,14,25.9259
"Resort Hotel",2017-07-14,56,19,33.9286
"Resort Hotel",2017-07-15,72,28,38.8889
"Resort Hotel",2017-07-16,54,21,38.8889
"Resort Hotel",2017-07-17,69,33,47.8261
"Resort Hotel",2017-07-18,53,17,32.0755
"Resort Hotel",2017-07-19,37,11,29.7297
"Resort Hotel",2017-07-20,46,15,32.6087
"Resort Hotel",2017-07-21,46,15,32.6087
"Resort Hotel",2017-07-22,64,38,59.3750
"Resort Hotel",2017-07-23,52,17,32.6923
"Resort Hotel",2017-07-24,77,29,37.6623
"Resort Hotel",2017-07-25,44,14,31.8182
"Resort Hotel",2017-07-26,41,23,56.0976
"Resort Hotel",2017-07-27,52,17,32.6923
"Resort Hotel",2017-07-28,59,24,40.6780
"Resort Hotel",2017-07-29,66,33,50.0000
"Resort Hotel",2017-07-30,53,16,30.1887
"Resort Hotel",2017-07-31,63,29,46.0317
"Resort Hotel",2017-08-01,74,28,37.8378
"Resort Hotel",2017-08-02,44,15,34.0909
"Resort Hotel",2017-08-03,53,25,47.1698
"Resort Hotel",2017-08-04,66,29,43.9394
"Resort Hotel",2017-08-05,69,31,44.9275
"Resort Hotel",2017-08-06,74,31,41.8919
"Resort Hotel",2017-08-07,84,36,42.8571
"Resort Hotel",2017-08-08,48,10,20.8333
"Resort Hotel",2017-08-09,32,8,25.0000
"Resort Hotel",2017-08-10,44,15,34.0909
"Resort Hotel",2017-08-11,50,20,40.0000
"Resort Hotel",2017-08-12,56,20,35.7143
"Resort Hotel",2017-08-13,60,21,35.0000
"Resort Hotel",2017-08-14,65,30,46.1538
"Resort Hotel",2017-08-15,52,20,38.4615
"Resort Hotel",2017-08-16,54,16,29.6296
"Resort Hotel",2017-08-17,89,45,50.5618
"Resort Hotel",2017-08-18,60,23,38.3333
"Resort Hotel",2017-08-19,66,27,40.9091
"Resort Hotel",2017-08-20,58,22,37.9310
"Resort Hotel",2017-08-21,65,26,40.0000
"Resort Hotel",2017-08-22,38,7,18.4211
"Resort Hotel",2017-08-23,40,12,30.0000
"Resort Hotel",2017-08-24,65,28,43.0769
"Resort Hotel",2017-08-25,52,17,32.6923
"Resort Hotel",2017-08-26,65,31,47.6923
"Resort Hotel",2017-08-27,67,21,31.3433
"Resort Hotel",2017-08-28,78,37,47.4359
"Resort Hotel",2017-08-29,35,14,40.0000
"Resort Hotel",2017-08-30,42,14,33.3333
"Resort Hotel",2017-08-31,55,14,25.4545
